None,ticker,date,adj_high,adj_low,mid_prices
3144,AAL,2005-09-27,55.604521055374,49.628334212974,52.616427634174
3143,AAL,2005-09-28,53.343963423683,49.888168423513,51.616065923598
3142,AAL,2005-09-29,53.473880528953,52.226676318365,52.850278423659006
3141,AAL,2005-09-30,54.695101318487,52.434543686797,53.564822502642
3140,AAL,2005-10-03,56.513940792261,54.305350002678,55.409645397469504
3139,AAL,2005-10-04,58.462697371304,55.70845473959,57.08557605544701
3138,AAL,2005-10-05,57.96901237128,56.513940792261,57.2414765817705
3137,AAL,2005-10-06,59.761868424,58.202863160765,58.982365792382495
3136,AAL,2005-10-07,58.722531581843,56.64385789753,57.6831947396865
3135,AAL,2005-10-10,57.917045529172,57.423360529148,57.67020302916
3134,AAL,2005-10-11,57.943028950226,56.64385789753,57.293443423878
3133,AAL,2005-10-12,57.293443423878,56.228123160668,56.760783292273004
3132,AAL,2005-10-13,56.64385789753,55.604521055374,56.124189476452
3131,AAL,2005-10-14,58.202863160765,56.7737750028,57.4883190817825
3130,AAL,2005-10-17,57.735161581795,56.7737750028,57.2544682922975
3129,AAL,2005-10-18,57.943028950226,55.474603950104,56.708816450165
3128,AAL,2005-10-19,56.124189476452,54.175432897409,55.149811186930506
3127,AAL,2005-10-20,55.812388423805,54.175432897409,54.993910660607
3126,AAL,2005-10-21,58.254830002873,54.591167634271,56.422998818572
3125,AAL,2005-10-24,58.09892947655,57.033609213339,57.5662693449445
3124,AAL,2005-10-25,58.56663105552,56.384023686991,57.4753273712555
3123,AAL,2005-10-26,58.332780266035,57.137542897555,57.735161581795
3122,AAL,2005-10-27,58.618597897628,57.683194739687,58.1508963186575
3121,AAL,2005-10-28,62.100376318852,58.124912897603,60.1126446082275
3120,AAL,2005-10-31,65.86797237167,62.360210529391,64.11409145053051
3119,AAL,2005-11-01,65.166420003214,64.153066582111,64.6597432926625
3118,AAL,2005-11-02,73.013413161496,65.478221055861,69.2458171086785
3117,AAL,2005-11-03,73.013413161496,71.7142421088,72.363827635148
3116,AAL,2005-11-04,75.351921056348,72.155960266717,73.75394066153251
3115,AAL,2005-11-07,76.469208161666,73.740948951005,75.1050785563355
3114,AAL,2005-11-08,77.170760530122,75.351921056348,76.26134079323501
3113,AAL,2005-11-09,81.328107898748,76.469208161666,78.898658030207
3112,AAL,2005-11-10,88.239697899089,80.938356582939,84.589027241014
3111,AAL,2005-11-11,88.213714478035,85.745289477913,86.979501977974
3110,AAL,2005-11-14,89.642802636,86.914543425339,88.2786730306695
3109,AAL,2005-11-15,88.031830530657,85.32955474105,86.6806926358535
3108,AAL,2005-11-16,87.953880267496,86.78462632007,87.369253293783
3107,AAL,2005-11-17,89.77271974127,86.342908162153,88.0578139517115
3106,AAL,2005-11-18,89.253051320191,85.381521583158,87.3172864516745
3105,AAL,2005-11-21,85.095703951565,81.224174214532,83.1599390830485
3104,AAL,2005-11-22,85.069720530511,82.107610530365,83.58866553043799
3103,AAL,2005-11-23,87.512162109579,83.562682109384,85.5374221094815
3102,AAL,2005-11-25,86.264957898991,85.017753688403,85.641355793697
3101,AAL,2005-11-28,87.953880267496,85.745289477913,86.8495848727045
3100,AAL,2005-11-29,87.044460530609,84.783902898918,85.9141817147635
3099,AAL,2005-11-30,87.823963162226,85.485455267374,86.6547092148
3098,AAL,2005-12-01,90.786073162372,88.343631583304,89.564852372838
3097,AAL,2005-12-02,90.032553951809,88.993217109652,89.5128855307305
3096,AAL,2005-12-05,84.809886319972,81.535975267179,83.17293079357549
3095,AAL,2005-12-06,87.694046056957,83.250881056737,85.472463556847
3094,AAL,2005-12-07,88.811333162275,86.52479210953,87.6680626359025
3093,AAL,2005-12-08,88.291664741197,87.12241079377,87.7070377674835
3092,AAL,2005-12-09,88.525515530682,86.6547092148,87.590112372741
3091,AAL,2005-12-12,88.109780793819,87.590112372741,87.84994658328
3090,AAL,2005-12-13,87.823963162226,85.875206583183,86.8495848727045
3089,AAL,2005-12-14,87.538145530633,86.394875004261,86.966510267447
3088,AAL,2005-12-15,88.031830530657,86.6547092148,87.3432698727285
3087,AAL,2005-12-16,92.241144741391,87.512162109579,89.87665342548499
3086,AAL,2005-12-19,92.111227636122,90.656156057103,91.38369184661249
3085,AAL,2005-12-20,92.137211057176,88.395598425412,90.266404741294
3084,AAL,2005-12-21,96.138657899478,91.799426583475,93.9690422414765
3083,AAL,2005-12-22,96.268575004748,94.449735530974,95.359155267861
3082,AAL,2005-12-23,98.73700000487,95.437105531023,97.08705276794649
3081,AAL,2005-12-27,100.81567368918,96.658326320557,98.73700000486849
3080,AAL,2005-12-28,99.126751320678,94.449735530974,96.788243425826
3079,AAL,2005-12-29,98.6070828996,96.632342899503,97.6197128995515
3078,AAL,2005-12-30,97.645696320605,95.930790531047,96.788243425826
3077,AAL,2006-01-03,99.464535794379,95.74890658367,97.60672118902451
3076,AAL,2006-01-04,105.49268947889,97.957497373252,101.725093426071
3075,AAL,2006-01-05,103.18016500509,101.10149132078,102.14082816293501
3074,AAL,2006-01-06,103.18016500509,99.100767899624,101.140466452357
3073,AAL,2006-01-09,101.02354105761,100.03617105757,100.52985605759
3072,AAL,2006-01-10,100.5818228997,97.177994741635,98.87990882066751
3071,AAL,2006-01-11,98.217331583791,90.032553951809,94.12494276780001
3070,AAL,2006-01-12,91.851393425583,85.641355793697,88.74637460964
3069,AAL,2006-01-13,92.03327737296,86.550775530584,89.292026451772
3068,AAL,2006-01-17,87.174377635878,76.96289316169,82.06863539878401
3067,AAL,2006-01-18,80.964340003993,75.040120003701,78.002230003847
3066,AAL,2006-01-19,81.172207372424,76.235357372181,78.7037823723025
3065,AAL,2006-01-20,78.677798951249,74.312584214191,76.49519158272
3064,AAL,2006-01-23,78.080180267009,75.741672372157,76.910926319583
3063,AAL,2006-01-24,81.769826056664,77.300677635391,79.5352518460275
3062,AAL,2006-01-25,81.87375974088,79.899019740783,80.8863897408315
3061,AAL,2006-01-26,81.198190793478,77.950263161739,79.5742269776085
